,anon,chauf_vl,pse1,pse2,chauf_vpsp,maraud,psc1,log,chef_maraud,fle,perm_soc,ci,nouv_bene,tsa,infirmier,Date,Value,day_name,dispo,
181,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00,0
297,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00,0
593,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-02-04h,OUI,Lundi,2020-03-23 02,0
709,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-02-04h,OUI,Lundi,2020-03-23 02,0
1005,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-04-06h,OUI,Lundi,2020-03-23 04,0
1121,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-04-06h,OUI,Lundi,2020-03-23 04,0
1417,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-06-08h,OUI,Lundi,2020-03-23 06,0
1533,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-06-08h,OUI,Lundi,2020-03-23 06,0
1945,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-08-10h,OUI,Lundi,2020-03-23 08,0
2357,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-10-12h,OUI,Lundi,2020-03-23 10,0
2769,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-12-14h,OUI,Lundi,2020-03-23 12,0
3181,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-14-16h,OUI,Lundi,2020-03-23 14,0
3477,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-16-18h,OUI,Lundi,2020-03-23 16,0
3593,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-16-18h,OUI,Lundi,2020-03-23 16,0
3889,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4005,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4014,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4301,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4417,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-10-12h,OUI,Lundi,2020-03-23 10,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-12-14h,OUI,Lundi,2020-03-23 12,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-14-16h,OUI,Lundi,2020-03-23 14,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-16-18h,OUI,Lundi,2020-03-23 16,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4426,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4713,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
4829,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
4838,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
297,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00,0
709,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-02-04h,OUI,Lundi,2020-03-23 02,0
1121,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-04-06h,OUI,Lundi,2020-03-23 04,0
1533,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-06-08h,OUI,Lundi,2020-03-23 06,0
1945,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-08-10h,OUI,Lundi,2020-03-23 08,0
2357,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-10-12h,OUI,Lundi,2020-03-23 10,0
2769,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-12-14h,OUI,Lundi,2020-03-23 12,0
3181,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-14-16h,OUI,Lundi,2020-03-23 14,0
3593,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-16-18h,OUI,Lundi,2020-03-23 16,0
4005,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-18-20h,OUI,Lundi,2020-03-23 18,0
4417,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-20-22h,OUI,Lundi,2020-03-23 20,0
4829,52,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Lundi-22-24h,OUI,Lundi,2020-03-23 22,0
