,anon,chauf_vl,pse1,pse2,chauf_vpsp,maraud,psc1,log,chef_maraud,fle,perm_soc,ci,nouv_bene,tsa,infirmier,Date,Value,day_name,dispo
0,306,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
1,180,False,True,False,True,True,True,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
2,359,True,False,True,False,False,False,False,True,False,False,False,False,True,True,Lundi-00-02h,OUI,Lundi,2020-03-23 00
3,242,True,False,True,False,True,False,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
4,253,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
5,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
6,287,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
7,247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
8,94,False,False,False,False,True,True,True,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
9,279,True,False,False,False,True,False,False,False,False,True,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
10,72,False,True,False,False,True,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
11,257,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
12,237,True,False,True,False,True,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
13,267,False,True,False,False,True,True,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
14,165,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
15,323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
16,116,True,True,False,False,True,False,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
17,80,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
18,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
19,150,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
20,164,True,False,False,False,True,True,False,True,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
21,303,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
22,259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
23,355,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
24,115,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
25,235,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
26,208,False,False,False,False,True,True,False,False,False,False,False,True,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
27,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
28,331,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
29,352,True,False,False,False,False,True,True,False,False,False,False,False,True,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
30,102,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
31,210,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
32,110,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
33,168,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
34,249,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
35,189,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
36,52,False,True,False,False,False,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
37,142,False,True,False,False,True,True,True,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
38,264,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
39,109,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
40,135,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
41,204,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
42,128,True,False,False,False,True,False,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
43,268,False,False,True,False,True,False,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
44,324,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
45,14,True,False,True,False,False,False,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
46,188,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
47,295,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
48,43,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
49,30,True,False,True,False,False,True,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
50,159,True,False,False,False,True,True,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
51,356,False,False,False,True,False,False,False,True,False,False,True,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
52,175,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
53,24,True,False,False,False,True,True,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
54,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
55,37,False,False,False,False,False,True,False,False,False,False,False,True,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
56,130,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
57,77,False,False,True,False,True,True,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
58,222,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
59,95,True,True,False,False,True,False,False,True,False,False,False,False,False,False,Lundi-00-02h,NON,Lundi,2020-03-23 00
60,262,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Lundi-00-02h,OUI,Lundi,2020-03-23 00
