,anon,Quelle sont vos compétences Croix-Rouge ?,Lundi - [00 - 02h],Lundi - [02 - 04h],Lundi - [04 - 06h],Lundi - [06 - 08h],Lundi - [08 - 10h],Lundi - [10 - 12h],Lundi - [12 - 14h],Lundi - [14 - 16h],Lundi - [16 - 18h],Lundi - [18 - 20h],Lundi - [20 - 22h],Lundi - [22 - 24h],Mardi - [00 - 02h],Mardi - [02 - 04h],Mardi - [04 - 06h],Mardi - [06 - 08h],Mardi - [08 - 10h],Mardi - [10 - 12h],Mardi - [12 - 14h],Mardi - [14 - 16h],Mardi - [16 - 18h],Mardi - [18 - 20h],Mardi - [20 - 22h],Mardi - [22 - 24h],Mercredi - [00 - 02h],Mercredi - [02 - 04h],Mercredi - [04 - 06h],Mercredi - [06 - 08h],Mercredi - [08 - 10h],Mercredi - [10 - 12h],Mercredi - [12 - 14h],Mercredi - [14 - 16h],Mercredi - [16 - 18h],Mercredi - [18 - 20h],Mercredi - [20 - 22h],Mercredi - [22 - 24h],Jeudi - [00 - 02h],Jeudi - [02 - 04h],Jeudi - [04 - 06h],Jeudi - [06 - 08h],Jeudi - [08 - 10h],Jeudi - [10 - 12h],Jeudi - [12 - 14h],Jeudi - [14 - 16h],Jeudi - [16 - 18h],Jeudi - [18 - 20h],Jeudi - [20 - 22h],Jeudi - [22 - 24h],Vendredi - [00 - 02h],Vendredi - [02 - 04h],Vendredi - [04 - 06h]
0,59,PSE1,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
1,53,"Chauffeur VL, Chauffeur VPSP, Maraudeur.se, PSC1, PSE1, PSE2",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
2,101,"Chauffeur VL, Chef.fe d'équipe maraudes, Infirmier.e local.e, PSE2, TSA / Coreg",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
3,69,"Chauffeur VL, Maraudeur.se, PSE1, PSE2",OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
4,96,PSC1,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,NON,NON
5,10,"Chauffeur VL, CI",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON
6,6,Nouveau bénévole,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
7,51,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
8,103,"Logisticien.ne Croix-Rouge, Maraudeur.se, PSC1",NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON
9,94,"Chauffeur VL, Maraudeur.se, Responsable Permanence Sociale",NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON
10,35,"Maraudeur.se, PSC1, PSE1",NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON
11,118,"Maraudeur.se, TSA / Coreg",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
12,33,"Chauffeur VL, Maraudeur.se, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
13,12,"Maraudeur.se, PSC1, PSE1",OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
14,8,"Maraudeur.se, PSC1",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
15,116,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
16,28,"Chauffeur VL, Maraudeur.se, PSE1",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
17,16,PSE2,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
18,65,Chef.fe d'équipe maraudes,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON
19,13,PSC1,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
20,68,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se, PSC1",OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI
21,3,Maraudeur.se,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
